LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS10M
53.55341,9.99181,1982,06,19,    6.98,    6.56,   17.07,   10.52,   14.03,    3.04,    1.36,    1.68,    2.28
53.55341,9.99181,1982,06,20,    2.84,    6.92,   17.32,   10.40,   14.48,    5.09,    2.35,    2.74,    3.63
53.55341,9.99181,1982,06,21,    0.39,    7.22,   15.18,    7.97,   12.13,    4.57,    2.22,    2.35,    3.36
53.55341,9.99181,1982,06,22,    4.23,   11.63,   18.93,    7.30,   13.76,    6.95,    0.12,    6.83,    2.36
53.55341,9.99181,1982,06,23,   14.99,    7.00,   19.24,   12.24,   15.52,    9.58,    2.76,    6.82,    5.98
53.55341,9.99181,1982,06,24,    2.12,    6.75,   18.33,   11.58,   15.21,    6.98,    2.21,    4.77,    4.82
53.55341,9.99181,1982,06,25,    0.21,    7.93,   19.09,   11.17,   15.71,    4.89,    0.27,    4.62,    3.17
53.55341,9.99181,1982,06,26,    7.38,    6.22,   20.28,   14.06,   16.84,    5.62,    0.91,    4.71,    3.71
53.55341,9.99181,1982,06,27,    7.35,    6.91,   19.94,   13.03,   16.42,    3.52,    1.35,    2.18,    2.54
53.55341,9.99181,1982,06,28,    6.50,    7.40,   18.46,   11.06,   15.27,    5.05,    2.08,    2.97,    3.57
53.55341,9.99181,1982,06,29,    4.80,    5.67,   17.03,   11.37,   14.14,    9.69,    3.91,    5.78,    6.94
53.55341,9.99181,1982,06,30,    2.59,    7.40,   17.78,   10.38,   14.16,   10.10,    5.02,    5.08,    7.43
53.55341,9.99181,1982,07,01,    1.17,    8.84,   19.18,   10.34,   15.08,    6.99,    2.09,    4.89,    5.26
53.55341,9.99181,1982,07,02,    0.66,    9.86,   21.79,   11.93,   17.26,    5.60,    1.02,    4.59,    2.96
53.55341,9.99181,1982,07,03,    1.45,    8.94,   22.24,   13.31,   17.75,    8.73,    3.31,    5.42,    6.58
53.55341,9.99181,1982,07,04,    1.53,    5.63,   17.10,   11.48,   14.49,   10.94,    3.39,    7.55,    7.40
53.55341,9.99181,1982,07,05,    4.46,    6.67,   17.64,   10.97,   14.13,    9.80,    3.48,    6.32,    6.99
53.55341,9.99181,1982,07,06,    1.61,    8.37,   18.16,    9.78,   14.51,    4.65,    1.53,    3.12,    3.42
53.55341,9.99181,1982,07,07,    0.32,    9.03,   19.43,   10.40,   15.19,    4.17,    1.85,    2.32,    2.92
53.55341,9.99181,1982,07,08,    0.00,   12.21,   22.52,   10.30,   17.01,    2.85,    0.93,    1.92,    1.81
53.55341,9.99181,1982,07,09,    0.01,   11.48,   24.79,   13.31,   19.35,    4.35,    0.68,    3.67,    2.13
53.55341,9.99181,1982,07,10,    0.21,   10.98,   25.52,   14.54,   19.71,    5.79,    2.78,    3.01,    4.37
53.55341,9.99181,1982,07,11,    0.22,   10.65,   25.92,   15.27,   20.43,    3.92,    2.47,    1.45,    3.25
53.55341,9.99181,1982,07,12,    0.04,   10.20,   24.14,   13.94,   19.53,    5.18,    2.70,    2.48,    4.00
53.55341,9.99181,1982,07,13,    0.09,   11.18,   26.29,   15.11,   21.25,    4.52,    2.82,    1.70,    3.93
53.55341,9.99181,1982,07,14,    0.28,    8.58,   25.78,   17.20,   21.65,    6.10,    3.67,    2.42,    4.98
53.55341,9.99181,1982,07,15,    2.37,   10.06,   27.73,   17.67,   22.59,    5.41,    2.03,    3.37,    3.91
53.55341,9.99181,1982,07,16,    1.92,    8.08,   23.19,   15.11,   19.35,    5.05,    2.50,    2.55,    4.19
53.55341,9.99181,1982,07,17,    1.15,    8.28,   21.11,   12.83,   17.10,    4.55,    1.60,    2.95,    3.03
53.55341,9.99181,1982,07,18,    0.09,    9.56,   21.04,   11.48,   16.80,    3.56,    1.83,    1.73,    2.78
53.55341,9.99181,1982,07,19,    0.04,    9.10,   21.41,   12.31,   17.03,    3.50,    1.57,    1.93,    2.51
53.55341,9.99181,1982,07,20,    0.03,   11.69,   23.61,   11.92,   18.46,    2.75,    0.52,    2.23,    1.48
53.55341,9.99181,1982,07,21,    0.05,    9.42,   22.09,   12.67,   17.53,    5.84,    2.32,    3.52,    3.90
53.55341,9.99181,1982,07,22,    0.01,   12.64,   22.95,   10.31,   17.17,    3.11,    1.97,    1.14,    2.62
53.55341,9.99181,1982,07,23,    0.08,   10.60,   23.72,   13.12,   18.96,    2.45,    1.04,    1.42,    1.95
53.55341,9.99181,1982,07,24,    0.21,   10.57,   23.72,   13.14,   18.83,    3.42,    1.01,    2.42,    2.36
53.55341,9.99181,1982,07,25,    0.12,    6.07,   19.81,   13.74,   16.88,    4.69,    2.18,    2.51,    3.46
53.55341,9.99181,1982,07,26,    0.64,    6.35,   19.41,   13.06,   15.88,    6.84,    3.26,    3.59,    4.87
53.55341,9.99181,1982,07,27,    2.55,    8.24,   19.65,   11.41,   16.05,    5.67,    2.79,    2.87,    3.76
53.55341,9.99181,1982,07,28,    0.11,   10.37,   22.31,   11.95,   17.82,    4.26,    2.33,    1.93,    3.31
53.55341,9.99181,1982,07,29,    0.00,   10.91,   24.32,   13.42,   19.20,    2.91,    1.68,    1.23,    2.36
53.55341,9.99181,1982,07,30,    0.02,   11.52,   25.08,   13.56,   20.07,    5.20,    2.20,    3.00,    3.61
53.55341,9.99181,1982,07,31,    0.02,   10.28,   25.82,   15.54,   20.75,    6.32,    4.01,    2.31,    5.21
53.55341,9.99181,1982,08,01,    0.02,   11.74,   25.64,   13.90,   20.22,    5.14,    3.12,    2.02,    4.31
53.55341,9.99181,1982,08,02,    0.01,   10.74,   26.03,   15.29,   20.81,    6.10,    3.80,    2.31,    4.92
53.55341,9.99181,1982,08,03,    0.03,    9.91,   25.87,   15.95,   20.91,    6.79,    4.67,    2.11,    5.69
53.55341,9.99181,1982,08,04,    0.31,   10.00,   27.36,   17.36,   22.47,    6.47,    4.62,    1.84,    5.60
53.55341,9.99181,1982,08,05,    2.78,    9.00,   26.93,   17.93,   22.43,    5.22,    2.48,    2.74,    4.04
53.55341,9.99181,1982,08,06,    4.29,    5.38,   23.53,   18.15,   20.67,    2.47,    0.87,    1.60,    1.64
